,index,graph_name,num_vertices,num_edges,pr_struct_size,category
0,0,moreno_taro,22,78,1.73KB,Human social network
1,1,moreno_rhesus,16,111,2.11KB,Animal network
2,2,moreno_sampson,18,189,3.38KB,Human social network
3,3,moreno_cattle,28,217,4.05KB,Animal network
4,4,league-be1-2016,16,239,4.11KB,Interaction network
5,5,moreno_sheep,28,250,4.56KB,Animal network
6,6,league-de1-2016,18,306,5.2KB,Interaction network
7,7,moreno_bison,26,314,5.52KB,Animal network
8,8,league-fr1-2016,20,380,6.41KB,Interaction network
9,9,league-uk1-2013,20,380,6.41KB,Interaction network
10,10,moreno_seventh,29,376,6.55KB,Human social network
11,11,moreno_highschool,70,366,7.36KB,Human social network
12,12,moreno_hens,32,496,8.5KB,Animal network
13,13,convote,219,764,17.07KB,Interaction network
14,14,moreno_mac,62,1187,20.0KB,Animal network
15,15,moreno_innovation,241,1098,22.8KB,Human social network
16,16,foodweb-baywet,128,2106,35.91KB,Trophic network
17,17,foodweb-baydry,128,2137,36.39KB,Trophic network
18,18,wiki_talk_ht,536,1530,36.47KB,Communication network
19,19,maayan-foodweb,183,2494,43.26KB,Trophic network
20,20,moreno_oz,217,2672,46.84KB,Human social network
21,21,moreno_vdb,32,3062,48.59KB,Human social network
22,22,librec-filmtrust-trust,874,1853,49.44KB,Online social network
23,23,maayan-faa,1226,2615,69.59KB,Infrastructure network
24,24,dimacs10-celegansneural,297,4296,74.09KB,Neural network
25,25,maayan-Stelzl,1706,6207,136.97KB,Metabolic network
26,26,maayan-figeys,2239,6452,153.29KB,Metabolic network
27,27,wiki_talk_cy,2233,10740,220.15KB,Communication network
28,28,wiki_talk_br,1181,13754,242.59KB,Communication network
29,29,wiki_talk_oc,3144,11059,246.48KB,Communication network
30,30,moreno_health,2539,12969,262.15KB,Human social network
31,31,moreno_blogs,1224,19025,325.95KB,Hyperlink network
32,32,soc-sign-bitcoinalpha,3783,24186,466.57KB,Online social network
33,33,p2p-Gnutella08,6301,20777,472.32KB,Computer network
34,34,opsahl-usairport,1574,28236,478.08KB,Infrastructure network
35,35,opsahl-openflights,2939,30501,545.46KB,Infrastructure network
36,36,dimacs10-polblogs,1224,33430,551.03KB,Hyperlink network
37,37,p2p-Gnutella09,8114,26013,596.62KB,Computer network
38,38,dnc-temporalGraph,2029,39264,661.05KB,Communication network
39,39,soc-sign-bitcoinotc,5881,35592,693.96KB,Online social network
40,40,p2p-Gnutella06,8717,31525,696.88KB,Computer network
41,41,p2p-Gnutella05,8846,31839,704.81KB,Computer network
42,42,librec-ciaodvd-trust,4658,40133,736.25KB,Online social network
43,43,p2p-Gnutella04,10876,39994,879.81KB,Computer network
44,44,wiki_talk_eo,7586,47070,913.27KB,Communication network
45,45,tntp-ChicagoRegional,12982,39018,913.92KB,Infrastructure network
46,46,advogato,6541,51127,952.16KB,Online social network
47,47,wiki_talk_nds,23132,27432,970.78KB,Communication network
48,48,opsahl-ucsocial,1899,59835,979.43KB,Communication network
49,49,ego-twitter,23370,33101,1.04MB,Online social network
50,50,dblp-cite,12590,49759,1.05MB,Citation network
51,51,openflights,3425,67663,1.11MB,Infrastructure network
52,52,ego-gplus,23628,39242,1.14MB,Online social network
53,53,wiki_talk_gl,8097,63809,1.16MB,Communication network
54,54,chess,7301,65053,1.16MB,Interaction network
55,55,radoslaw_email,167,82927,1.27MB,Communication network
56,56,p2p-Gnutella25,22687,54705,1.35MB,Computer network
57,57,p2p-Gnutella24,26518,65369,1.6MB,Computer network
58,58,elec,7118,103675,1.74MB,Online contact network
59,59,wiki_talk_eu,40993,58120,1.83MB,Communication network
60,60,wikipedia_link_gag,2929,118603,1.88MB,Hyperlink network
61,61,subelj_cora,23166,91500,1.93MB,Citation network
62,62,wikipedia_link_mi,7996,116464,1.96MB,Hyperlink network
63,63,munmun_digg_reply,30398,87627,2.03MB,Communication network
64,64,wiki_talk_lv,41424,73900,2.08MB,Communication network
65,65,wikipedia_link_so,7439,125060,2.08MB,Hyperlink network
66,66,wikipedia_link_am,20943,105746,2.09MB,Hyperlink network
67,67,wikipedia_link_lo,3811,132837,2.11MB,Hyperlink network
68,68,wikipedia_link_vls,9941,128212,2.18MB,Hyperlink network
69,69,p2p-Gnutella30,36682,88328,2.19MB,Computer network
70,70,foldoc,13356,125207,2.22MB,Hyperlink network
71,71,subelj_jung-j,6120,138706,2.26MB,Software network
72,72,wikipedia_link_myv,6293,142571,2.32MB,Hyperlink network
73,73,wikipedia_link_nds_nl,10453,140501,2.38MB,Hyperlink network
74,74,wikipedia_link_bat_smg,21900,123807,2.39MB,Hyperlink network
75,75,subelj_jdk,6434,150985,2.45MB,Software network
76,76,wikipedia_link_gv,6862,150595,2.45MB,Hyperlink network
77,77,wikipedia_link_tk,6138,167810,2.7MB,Hyperlink network
78,78,wikipedia_link_crh,8286,175470,2.87MB,Hyperlink network
79,79,wikipedia_link_co,8252,177420,2.9MB,Hyperlink network
80,80,wikipedia_link_gan,9189,176051,2.9MB,Hyperlink network
