graph_name,name,code,n,m,konect_url,data_url
brunson_south-africa,South African companies,SC,11,13,http://konect.cc/networks/brunson_south-africa/,http://konect.cc/files/download.tsv.brunson_south-africa.tar.bz2
brunson_southern-women,Southern women (small),Sw,10,14,http://konect.cc/networks/brunson_southern-women/,http://konect.cc/files/download.tsv.brunson_southern-women.tar.bz2
hiv,HIV,HI,40,41,http://konect.cc/networks/hiv/,http://konect.cc/files/download.tsv.hiv.tar.bz2
ucidata-zachary,Zachary karate club,ZA,34,78,http://konect.cc/networks/ucidata-zachary/,http://konect.cc/files/download.tsv.ucidata-zachary.tar.bz2
ucidata-gama,Highland tribes,HT,16,58,http://konect.cc/networks/ucidata-gama/,http://konect.cc/files/download.tsv.ucidata-gama.tar.bz2
moreno_taro,Taro exchange,MT,22,78,http://konect.cc/networks/moreno_taro/,http://konect.cc/files/download.tsv.moreno_taro.tar.bz2
opsahl-southernwomen,Southern women (large),SW,32,89,http://konect.cc/networks/opsahl-southernwomen/,http://konect.cc/files/download.tsv.opsahl-southernwomen.tar.bz2
moreno_zebra,Zebra,MZ,27,111,http://konect.cc/networks/moreno_zebra/,http://konect.cc/files/download.tsv.moreno_zebra.tar.bz2
brunson_club-membership,Corporate club memberships,BM,40,95,http://konect.cc/networks/brunson_club-membership/,http://konect.cc/files/download.tsv.brunson_club-membership.tar.bz2
brunson_corporate-leadership,Corporate leaderships,BC,44,99,http://konect.cc/networks/brunson_corporate-leadership/,http://konect.cc/files/download.tsv.brunson_corporate-leadership.tar.bz2
moreno_kangaroo,Kangaroos,MK,17,91,http://konect.cc/networks/moreno_kangaroo/,http://konect.cc/files/download.tsv.moreno_kangaroo.tar.bz2
iceland,Iceland,IC,75,114,http://konect.cc/networks/iceland/,http://konect.cc/files/download.tsv.iceland.tar.bz2
edit-krwikiquote,Wikiquote edits (kr),qkr,39,37,http://konect.cc/networks/edit-krwikiquote/,http://konect.cc/files/download.tsv.edit-krwikiquote.tar.bz2
contiguous-usa,Contiguous USA,CU,49,107,http://konect.cc/networks/contiguous-usa/,http://konect.cc/files/download.tsv.contiguous-usa.tar.bz2
moreno_rhesus,Rhesus macaques,MR,16,111,http://konect.cc/networks/moreno_rhesus/,http://konect.cc/files/download.tsv.moreno_rhesus.tar.bz2
dolphins,Dolphins,DO,62,159,http://konect.cc/networks/dolphins/,http://konect.cc/files/download.tsv.dolphins.tar.bz2
dimacs10-chesapeake,Chesapeake Bay,CB,39,170,http://konect.cc/networks/dimacs10-chesapeake/,http://konect.cc/files/download.tsv.dimacs10-chesapeake.tar.bz2
brunson_revolution,American Revolution,Ar,141,160,http://konect.cc/networks/brunson_revolution/,http://konect.cc/files/download.tsv.brunson_revolution.tar.bz2
edit-gnwikibooks,Wikibooks edits (gn),bgn,68,62,http://konect.cc/networks/edit-gnwikibooks/,http://konect.cc/files/download.tsv.edit-gnwikibooks.tar.bz2
edit-rmwikibooks,Wikibooks edits (rm),brm,70,67,http://konect.cc/networks/edit-rmwikibooks/,http://konect.cc/files/download.tsv.edit-rmwikibooks.tar.bz2
edit-angwikisource,Wikiquote edits (ang),qang,59,68,http://konect.cc/networks/edit-angwikisource/,http://konect.cc/files/download.tsv.edit-angwikisource.tar.bz2
edit-kswikiquote,Wikiquote edits (ks),qks,77,70,http://konect.cc/networks/edit-kswikiquote/,http://konect.cc/files/download.tsv.edit-kswikiquote.tar.bz2
edit-bmwikibooks,Wikibooks edits (bm),bbm,79,75,http://konect.cc/networks/edit-bmwikibooks/,http://konect.cc/files/download.tsv.edit-bmwikibooks.tar.bz2
edit-bmwikiquote,Wikiquote edits (bm),qbm,84,77,http://konect.cc/networks/edit-bmwikiquote/,http://konect.cc/files/download.tsv.edit-bmwikiquote.tar.bz2
moreno_sampson,Crisis in a Cloister,Ms,18,189,http://konect.cc/networks/moreno_sampson/,http://konect.cc/files/download.tsv.moreno_sampson.tar.bz2
edit-biwikibooks,Wikibooks edits (bi),bbi,78,79,http://konect.cc/networks/edit-biwikibooks/,http://konect.cc/files/download.tsv.edit-biwikibooks.tar.bz2
moreno_cattle,Cattle,MA,28,217,http://konect.cc/networks/moreno_cattle/,http://konect.cc/files/download.tsv.moreno_cattle.tar.bz2
maayan-pdzbase,PDZBase,MP,212,244,http://konect.cc/networks/maayan-pdzbase/,http://konect.cc/files/download.tsv.maayan-pdzbase.tar.bz2
edit-rnwiktionary,Wiktionary edits (rn),mrn,89,88,http://konect.cc/networks/edit-rnwiktionary/,http://konect.cc/files/download.tsv.edit-rnwiktionary.tar.bz2
edit-mhwiktionary,Wiktionary edits (mh),mmh,83,92,http://konect.cc/networks/edit-mhwiktionary/,http://konect.cc/files/download.tsv.edit-mhwiktionary.tar.bz2
league-be1-2016,Pro League (2016/2017),b6,16,239,http://konect.cc/networks/league-be1-2016/,http://konect.cc/files/download.tsv.league-be1-2016.tar.bz2
edit-tkwikiquote,Wikiquote edits (tk),qtk,93,95,http://konect.cc/networks/edit-tkwikiquote/,http://konect.cc/files/download.tsv.edit-tkwikiquote.tar.bz2
edit-chwiktionary,Wiktionary edits (ch),mch,103,98,http://konect.cc/networks/edit-chwiktionary/,http://konect.cc/files/download.tsv.edit-chwiktionary.tar.bz2
moreno_train,Train bombing,Mt,64,243,http://konect.cc/networks/moreno_train/,http://konect.cc/files/download.tsv.moreno_train.tar.bz2
edit-ugwikiquote,Wikiquote edits (ug),qug,93,100,http://konect.cc/networks/edit-ugwikiquote/,http://konect.cc/files/download.tsv.edit-ugwikiquote.tar.bz2
edit-avwiktionary,Wiktionary edits (av),mav,107,100,http://konect.cc/networks/edit-avwiktionary/,http://konect.cc/files/download.tsv.edit-avwiktionary.tar.bz2
moreno_sheep,Sheep,Mc,28,250,http://konect.cc/networks/moreno_sheep/,http://konect.cc/files/download.tsv.moreno_sheep.tar.bz2
edit-akwiktionary,Wiktionary edits (ak),mak,119,100,http://konect.cc/networks/edit-akwiktionary/,http://konect.cc/files/download.tsv.edit-akwiktionary.tar.bz2
gene_fusion,Gene fusion,GF,291,279,http://konect.cc/networks/gene_fusion/,http://konect.cc/files/download.tsv.gene_fusion.tar.bz2
edit-kswikibooks,Wikibooks edits (ks),bks,89,110,http://konect.cc/networks/edit-kswikibooks/,http://konect.cc/files/download.tsv.edit-kswikibooks.tar.bz2
moreno_lesmis,Les Misérables,Ml,77,254,http://konect.cc/networks/moreno_lesmis/,http://konect.cc/files/download.tsv.moreno_lesmis.tar.bz2
edit-chwikibooks,Wikibooks edits (ch),bch,84,112,http://konect.cc/networks/edit-chwikibooks/,http://konect.cc/files/download.tsv.edit-chwikibooks.tar.bz2
edit-aswikibooks,Wikibooks edits (as),bas,102,116,http://konect.cc/networks/edit-aswikibooks/,http://konect.cc/files/download.tsv.edit-aswikibooks.tar.bz2
edit-mywikibooks,Wikibooks edits (my),bmy,98,123,http://konect.cc/networks/edit-mywikibooks/,http://konect.cc/files/download.tsv.edit-mywikibooks.tar.bz2
edit-aawikibooks,Wikibooks edits (aa),baa,115,119,http://konect.cc/networks/edit-aawikibooks/,http://konect.cc/files/download.tsv.edit-aawikibooks.tar.bz2
league-de1-2016,Bundesliga (2016/2017),d6,18,306,http://konect.cc/networks/league-de1-2016/,http://konect.cc/files/download.tsv.league-de1-2016.tar.bz2
edit-nahwikibooks,Wikibooks edits (nah),bnah,97,122,http://konect.cc/networks/edit-nahwikibooks/,http://konect.cc/files/download.tsv.edit-nahwikibooks.tar.bz2
moreno_bison,Bison,MB,26,314,http://konect.cc/networks/moreno_bison/,http://konect.cc/files/download.tsv.moreno_bison.tar.bz2
edit-gotwikibooks,Wikibooks edits (got),bgot,90,127,http://konect.cc/networks/edit-gotwikibooks/,http://konect.cc/files/download.tsv.edit-gotwikibooks.tar.bz2
edit-crwiktionary,Wiktionary edits (cr),mcr,106,124,http://konect.cc/networks/edit-crwiktionary/,http://konect.cc/files/download.tsv.edit-crwiktionary.tar.bz2
edit-alswikiquote,Wikiquote edits (als),qals,111,124,http://konect.cc/networks/edit-alswikiquote/,http://konect.cc/files/download.tsv.edit-alswikiquote.tar.bz2
edit-ttwikiquote,Wikiquote edits (tt),qtt,93,130,http://konect.cc/networks/edit-ttwikiquote/,http://konect.cc/files/download.tsv.edit-ttwikiquote.tar.bz2
edit-quwikibooks,Wikibooks edits (qu),bqu,100,134,http://konect.cc/networks/edit-quwikibooks/,http://konect.cc/files/download.tsv.edit-quwikibooks.tar.bz2
adjnoun_adjacency,David Copperfield,AN,112,425,http://konect.cc/networks/adjnoun_adjacency/,http://konect.cc/files/download.tsv.adjnoun_adjacency.tar.bz2
moreno_beach,Windsurfers,MW,43,336,http://konect.cc/networks/moreno_beach/,http://konect.cc/files/download.tsv.moreno_beach.tar.bz2
edit-vowikiquote,Wikiquote edits (vo),qvo,100,139,http://konect.cc/networks/edit-vowikiquote/,http://konect.cc/files/download.tsv.edit-vowikiquote.tar.bz2
dimacs10-polbooks,Political books,PB,105,441,http://konect.cc/networks/dimacs10-polbooks/,http://konect.cc/files/download.tsv.dimacs10-polbooks.tar.bz2
edit-sewikibooks,Wikibooks edits (se),bse,110,141,http://konect.cc/networks/edit-sewikibooks/,http://konect.cc/files/download.tsv.edit-sewikibooks.tar.bz2
