,graph_name,code,internal_name,name,directory,data_source,availability,consistency_check,category,node_meaning,edge_meaning,network_format,edge_type,temporal_data,reciprocal,directed_cycles,loops,snapshot,dataset_timestamp,network_join,orientation,multiplicity,connectedness,txt_file_size,compressed_txt_file_size,zero_weights,skew_symmetry,complete,k_core,tournament,paths
0,brunson_south-africa,SC,brunson_south-africa,South African companies,,https://github.com/corybrunson/triadic,Dataset is available for download,Dataset passed all tests,Affiliation network,"Person, company",Leadership,"Bipartite, undirected","Unweighted, no multiple edges",,,,,,,,,,,,,,,,,,
1,brunson_southern-women,Sw,brunson_southern-women,Southern women (small),,https://github.com/corybrunson/triadic,Dataset is available for download,Dataset passed all tests,Interaction network,"Woman, event",Participation,"Bipartite, undirected","Unweighted, no multiple edges",,,,,,,,,,,,,,,,,,
2,hiv,HI,hiv,HIV,,,Dataset is available for download,Dataset passed all tests,Human contact network,AIDS patient,Sexual contact,"Unipartite, undirected","Unweighted, no multiple edges",,,,Does not contain loops,Is a snapshot and likely to not contain all data,1984,,,,Only the largest connected component of the original data is included,,,,,,,,
3,ucidata-zachary,ZA,ucidata-zachary,Zachary karate club,,http://vlado.fmf.uni-lj.si/pub/networks/data/ucinet/ucidata.htm#zachary,Dataset is available for download,Dataset passed all tests,Human social network,Member,Tie,"Unipartite, undirected","Unweighted, no multiple edges",,,,Does not contain loops,,1977,,,,,,,,,,,,
4,ucidata-gama,HT,ucidata-gama,Highland tribes,,http://vlado.fmf.uni-lj.si/pub/networks/data/ucinet/ucidata.htm#gama,Dataset is available for download,Dataset passed all tests,Human social network,Tribe,Friendship,"Unipartite, undirected","Signed, possibly weighted, no multiple edges",,,,Does not contain loops,,,,,,,,,,,,,,
5,moreno_taro,MT,moreno_taro,Taro exchange,,http://moreno.ss.uci.edu/data.html#taro,Dataset is available for download,Dataset passed all tests,Human social network,Household,Gift-giving,"Unipartite, directed","Unweighted, no multiple edges",,Contains reciprocal edges,Contains directed cycles,Does not contain loops,,,,,,,,,,,,,,
6,opsahl-southernwomen,SW,opsahl-southernwomen,Southern women (large),,http://toreopsahl.com/datasets/#southernwomen,Dataset is available for download,Dataset passed all tests,Interaction network,"Woman, event",Participation,"Bipartite, undirected","Unweighted, no multiple edges",,,,,Is a snapshot and likely to not contain all data,,Is the join of an underlying network,,,,,,,,,,,
7,moreno_zebra,MZ,moreno_zebra,Zebra,,http://moreno.ss.uci.edu/data.html#zebra,Dataset is available for download,Dataset passed all tests,Animal network,Zebra,Interaction,"Unipartite, undirected","Unweighted, no multiple edges",,,,Does not contain loops,,2007,,,,,,,,,,,,
8,brunson_club-membership,BM,brunson_club-membership,Corporate club memberships,,https://github.com/corybrunson/triadic,Dataset is available for download,Dataset passed all tests,Affiliation network,"Person, organization",Membership,"Bipartite, undirected","Unweighted, no multiple edges",,,,,,,,,,,,,,,,,,
9,brunson_corporate-leadership,BC,brunson_corporate-leadership,Corporate leaderships,,https://github.com/corybrunson/triadic,Dataset is available for download,Dataset passed all tests,Affiliation network,"Person, company",Leadership,"Bipartite, undirected","Unweighted, no multiple edges",,,,,,,,,,,,,,,,,,
