,graph_name,directed,size,volume,n,m,unique_edge_count,loop_count,wedge_count,claw_count,cross_count,triangle_count,square_count,tour_count_4,maximum_degree,maximum_outdegree,maximum_indegree,average_degree,fill,average_edge_multiplicity,size_of_lcc,size_of_lscc,relative_size_of_lscc,diameter,percentile_effective_diameter_50,percentile_effective_diameter_90,median_distance,mean_distance,gini_coefficient,balanced_inequality_ratio,outdegree_balanced_inequality_ratio,indegree_balanced_inequality_ratio,relative_edge_distribution_entropy,power_law_exponent,tail_power_law_exponent,tail_power_law_exponent_with_p,p_value,degree_assortativity,degree_assortativity_p_value,clustering_coefficient,directed_clustering_coefficient,spectral_norm,operator_2_norm,cyclic_eigenvalue,reciprocity,non_bipartivity,normalized_non_bipartivity,algebraic_non_bipartivity,spectral_bipartite_frustration,relative_controllability,controllability,in_outdegree_correlation,outdegree_tail_power_law_exponent_with_p,indegree_p_value,indegree_tail_power_law_exponent_with_p,outdegree_p_value,algebraic_connectivity,spectral_separation,triadic_conflict,spectral_signed_frustration,algebraic_conflict,negativity,left_balanced_inequality_ratio,average_left_degree,right_size,left_size,maximum_right_degree,maximum_left_degree,right_balanced_inequality_ratio,right_tail_power_law_exponent_with_p,left_p_value,right_p_value,left_tail_power_law_exponent_with_p,average_right_degree
0,brunson_south-africa,0,11,13,,,,,13,10,2,,4,150,4,,,2.36364,0.433333,,2,,,4,2.0,0.7,0,0.333333,0.230769,0.307692,,,0.963938,2.30401,3.211,3.211,0.376,0.184466,0.546309,,,2.82933,,,,,,,,0.0909091,1,,,,,,0.244822,1.65885,,,,,0.461538,2.16667,5,6,4,3,0.384615,1.811,0.549,0.029,5.331,2.6
1,brunson_southern-women,0,10,14,,,,,12,8,0,,4,164,3,,,2.8,0.56,,4,,,5,0.0,0.8,1,0.5,0.0428571,0.357143,,,0.995193,4.08288,2.851,2.851,0.0,-0.166667,0.569033,,,2.85859,,,,,,,,0.0,0,,,,,,0.805955,1.57497,,,,,0.357143,2.8,5,5,3,3,0.357143,2.851,0.001,0.002,2.851,2.8
2,hiv,0,40,41,,,,0,86,88,81,1,0,426,8,,,2.05,0.0525641,,40,,,10,4.15559,6.89847,5,4.66478,0.337805,0.365854,,,0.944232,2.90307,4.011,4.011,0.44,-0.279408,0.0110174,0.0348837,,3.11743,,,,0.000324537,0.00403353,0.00804122,0.000980636,0.2,8,,,,,,0.0461093,1.00032,,,,,,,,,,,,,,,,
3,ucidata-zachary,0,34,78,,,,0,528,1764,5082,45,154,3500,17,,,4.58824,0.139037,,34,,,5,1.84054,3.44198,2,2.44326,0.38537,0.339744,,,0.924709,1.78096,2.161,2.161,0.151,-0.475613,3.50945e-10,0.255682,,6.7257,,,,0.332823,0.285389,0.878988,0.0478936,0.235294,8,,,,,,0.468525,1.35134,,,,,,,,,,,,,,,,
4,ucidata-gama,0,16,58,,,,0,387,777,1033,68,283,3928,10,,,7.25,0.483333,,16,,,3,0.979675,1.83359,1,1.45421,0.131466,0.405172,,,0.988424,2.18281,8.991,8.991,0.41,0.0499048,0.594725,0.527132,,6.48338,,,,0.561989,0.517455,2.37514,0.0819014,0.0625,1,,,,,,2.10254,1.33248,0.132353,0.035872,1.04029,0.5,,,,,,,,,,,,
5,moreno_taro,1,22,78,,,,0,109,1076,1645,10,4,546,12,6,6,7.09091,0.168831,,22,22,1.0,5,1.93226,3.25962,2,2.37576,0.117716,0.423077,0.423077,0.423077,0.989648,8.27482,8.991,8.991,0.88,-0.375145,0.000713882,0.275229,0.275229,7.50179,3.7509,3.7509,1.0,0.280755,0.318664,1.05184,0.0741685,0.0909091,2,1.0,8.991,0.865,8.991,0.851,1.07252,1.26179,,,,,,,,,,,,,,,,
6,opsahl-southernwomen,0,32,89,,,,,397,1206,2224,,341,5050,14,,,5.5625,0.353175,,32,,,5,1.9434,3.15188,2,2.41341,0.244694,0.393258,,,0.964788,2.11352,4.691,4.691,0.103,-0.278319,0.00826782,,,6.74191,,,,,,,,0.125,4,,,,,,0.932001,1.53921,,,,,0.370787,4.94444,14,18,14,8,0.348315,2.291,0.174,0.303,8.991,6.35714
7,moreno_zebra,0,27,111,,,,0,1108,3818,9291,312,2325,23254,14,,,8.22222,0.316239,,23,,,4,1.19706,2.65039,2,1.78947,0.307641,0.355856,,,0.943726,1.84123,1.691,1.691,0.0,0.717703,1.96994e-36,0.844765,,12.2853,,,,0.748511,0.572364,1.52721,0.0418165,0.037037,1,,,,,,0.519981,3.51466,,,,,,,,,,,,,,,,
8,brunson_club-membership,0,40,95,,,,,534,1935,6874,,212,4186,21,,,4.75,0.253333,,40,,,5,2.06634,3.37317,3,2.54667,0.300632,0.384211,,,0.954522,2.3753,2.871,2.871,0.238,-0.113162,0.274887,,,6.46551,,,,,,,,0.25,10,,,,,,0.86761,1.80622,,,,,0.421053,3.8,15,25,21,7,0.347368,2.401,0.927,0.558,8.031,6.33333
9,brunson_corporate-leadership,0,44,99,,,,,453,1035,1755,,195,3782,12,,,4.5,0.20625,,44,,,6,2.40488,3.8127,3,2.86676,0.25,0.414141,,,0.958209,2.52549,3.691,3.691,0.557,-0.0860443,0.39709,,,6.1825,,,,,,,,0.0909091,4,,,,,,0.48521,1.75508,,,,,0.383838,4.95,24,20,12,9,0.353535,2.331,0.297,0.717,5.691,4.125
